Date,Mesocosm,Species,Mag,P.Length,P.Width,C.Length (um),C.Width (um),,,,,
13/05/2022,1,Daphnia,55,8.3,4.2,1494,756,,,,,
13/05/2022,7,Scap,55,6.5,4,1170,720,,,,,
13/05/2022,6,Ephippia ,55,2.4,1.6,432,288,,,,,
13/05/2022,15,N/A,,,,,,,,,,
13/05/2022,5,N/A,,,,,,,,,,
13/05/2022,2,N/A,,,,,,,,,,
13/05/2022,8,N/A,,,,,,,,,,
13/05/2022,9,N/A,,,,,,,,,,
13/05/2022,14,Scap,55,4.1,1.9,738,342,,,,,
13/05/2022,12,N/A,,,,,,,,,,
13/05/2022,13,Scap,55,5.3,2.8,954,504,,,,,
13/05/2022,13,Daphnia,40,9,4.9,2250,1225,,,,,
13/05/2022,16,N/A,,,,,,,,,,
13/05/2022,3,N/A,,,,,,,,,,
13/05/2022,11,N/A,,,,,,,,,,
13/05/2022,98,N/A,,,,,,,,,,
13/05/2022,110,Daphnia,40,8.2,3.6,2000,900,,,,,
13/05/2022,110,Daphnia,55,7.5,2.8,1350,504,,,,,
13/05/2022,99,Daphnia,30,7.7,3.4,2574,1122,,,,,
13/05/2022,105,N/A,,,,,,,,,,
13/05/2022,107,N/A,,,,,,,,,,
13/05/2022,112,N/A,,,,,,,,,,
13/05/2022,103,N/A,,,,,,,,,,
13/05/2022,108,Ephippia ,55,3.7,2.6,666,468,,,,,
13/05/2022,108,Ephippia ,55,3.6,2.8,648,504,,,,,
13/05/2022,108,Scap,55,3.8,1.7,684,306,,,,,
13/05/2022,108,Scap,55,2.8,1.7,504,306,,,,,
13/05/2022,102,N/A,,,,,,,,,,
13/05/2022,97,N/A,,,,,,,,,,
13/05/2022,109,N/A,,,,,,,,,,
13/05/2022,111,N/A,,,,,,,,,,
13/05/2022,101,N/A,,,,,,,,,,
13/05/2022,104,N/A,,,,,,,,,,
13/05/2022,106,N/A,,,,,,,,,,
13/05/2022,100,N/A,,,,,,,,,,
13/05/2022,17,N/A,,,,,,,,,,
13/05/2022,18,N/A,,,,,,,,,,
13/05/2022,22,N/A,,,,,,,,,,
13/05/2022,30,N/A,,,,,,,,,,
13/05/2022,31,Simo,40,8.4,6.8,2100,1700,,,,,
13/05/2022,19,N/A,,,,,,,,,,
13/05/2022,21,N/A,,,,,,,,,,
13/05/2022,24,N/A,,,,,,,,,,
13/05/2022,25,N/A,,,,,,,,,,
13/05/2022,20,N/A,,,,,,,,,,
13/05/2022,29,N/A,,,,,,,,,,
13/05/2022,26,N/A,,,,,,,,,,
13/05/2022,27,N/A,,,,,,,,,,
13/05/2022,28,N/A,,,,,,,,,,
13/05/2022,23,N/A,,,,,,,,,,
13/05/2022,32,N/A,,,,,,,,,,
01/06/2022,70,N/A,,,,,,,,,,
01/06/2022,66,N/A,,,,,,,,,,
01/06/2022,67,N/A,,,,,,,,,,
01/06/2022,68,N/A,,,,,,,,,,
01/06/2022,69,Scap,55,4.8,1.8,864,324,,,,,
01/06/2022,72,N/A,,,,,,,,,,
01/06/2022,73,N/A,,,,,,,,,,
01/06/2022,74,N/A,,,,,,,,,,
01/06/2022,65,N/A,,,,,,,,,,
01/06/2022,79,N/A,,,,,,,,,,
01/06/2022,80,N/A,,,,,,,,,,
01/06/2022,78,N/A,,,,,,,,,,
01/06/2022,71,N/A,,,,,,,,,,
01/06/2022,75,N/A,,,,,,,,,,
01/06/2022,77,N/A,,,,,,,,,,
01/06/2022,76,N/A,,,,,,,,,,
01/06/2022,88,N/A,,,,,,,,,,
01/06/2022,81,N/A,,,,,,,,,,
01/06/2022,95,Scap,55,4.5,2.2,810,396,,,,,
01/06/2022,91,N/A,,,,,,,,,,
01/06/2022,94,Daphnia,40,8.1,3.6,2025,900,,,,,
01/06/2022,83,N/A,,,,,,,,,,
01/06/2022,92,N/A,,,,,,,,,,
01/06/2022,84,N/A,,,,,,,,,,
01/06/2022,82,Scap,55,5.8,2.9,1044,522,,,,,
01/06/2022,82,Scap,55,3.8,1.5,684,270,,,,,
01/06/2022,96,N/A,,,,,,,,,,
01/06/2022,93,N/A,,,,,,,,,,
01/06/2022,86,N/A,,,,,,,,,,
01/06/2022,90,N/A,,,,,,,,,,
01/06/2022,89,N/A,,,,,,,,,,
01/06/2022,103,N/A,,,,,,,,,,
01/06/2022,85,N/A,,,,,,,,,,
01/06/2022,19,N/A,,,,,,,,,,
01/06/2022,17,N/A,,,,,,,,,,
01/06/2022,24,Ephippia ,55,2.3,1.6,414,288,,,,,
01/06/2022,32,N/A,,,,,,,,,,
01/06/2022,21,N/A,,,,,,,,,,
01/06/2022,31,N/A,,,,,,,,,,
01/06/2022,25,N/A,,,,,,,,,,
01/06/2022,18,N/A,,,,,,,,,,
01/06/2022,26,N/A,,,,,,,,,,
01/06/2022,22,N/A,,,,,,,,,,
01/06/2022,29,N/A,,,,,,,,,,
01/06/2022,23,N/A,,,,,,,,,,
01/06/2022,20,N/A,,,,,,,,,,
01/06/2022,27,N/A,,,,,,,,,,
01/06/2022,28,N/A,,,,,,,,,,
01/06/2022,30,N/A,,,,,,,,,,
01/06/2022,63,N/A,,,,,,,,,,
01/06/2022,49,N/A,,,,,,,,,,
01/06/2022,51,N/A,,,,,,,,,,
01/06/2022,59,Scap,55,3.9,1.9,702,342,,,,,
01/06/2022,53,N/A,,,,,,,,,,
01/06/2022,54,N/A,,,,,,,,,,
01/06/2022,50,Scap,55,5.1,2.7,918,486,,,,,
01/06/2022,62,N/A,,,,,,,,,,
01/06/2022,52,N/A,,,,,,,,,,
01/06/2022,58,N/A,,,,,,,,,,
01/06/2022,60,N/A,,,,,,,,,,
01/06/2022,57,N/A,,,,,,,,,,
01/06/2022,64,N/A,,,,,,,,,,
01/06/2022,61,Scap,55,6.1,3.1,1098,558,,,,,
01/06/2022,56,N/A,,,,,,,,,,
01/06/2022,55,N/A,,,,,,,,,,
01/06/2022,16,N/A,,,,,,,,,,
01/06/2022,7,N/A,,,,,,,,,,
01/06/2022,11,Scap,55,3.8,1.8,684,324,,,,,
01/06/2022,3,N/A,,,,,,,,,,
01/06/2022,10,N/A,,,,,,,,,,
01/06/2022,6,N/A,,,,,,,,,,
01/06/2022,15,N/A,,,,,,,,,,
01/06/2022,12,N/A,,,,,,,,,,
01/06/2022,5,N/A,,,,,,,,,,
01/06/2022,8,N/A,,,,,,,,,,
01/06/2022,13,N/A,,,,,,,,,,
01/06/2022,14,Daphnia,55,4.8,1.7,864,306,,,,,
01/06/2022,2,N/A,,,,,,,,,,
01/06/2022,4,N/A,,,,,,,,,,
01/06/2022,1,N/A,,,,,,,,,,
01/06/2022,9,N/A,,,,,,,,,,
01/06/2022,99,N/A,,,,,,,,,,
01/06/2022,97,N/A,,,,,,,,,,
01/06/2022,107,Scap,55,4.7,1.9,846,162,,,,,
01/06/2022,104,N/A,,,,,,,,,,
01/06/2022,101,N/A,,,,,,,,,,
01/06/2022,102,N/A,,,,,,,,,,
01/06/2022,98,Scap,55,3.4,1.4,612,252,,,,,
01/06/2022,100,N/A,,,,,,,,,,
01/06/2022,110,N/A,,,,,,,,,,
01/06/2022,112,N/A,,,,,,,,,,
01/06/2022,105,N/A,,,,,,,,,,
01/06/2022,108,N/A,,,,,,,,,,
01/06/2022,111,N/A,,,,,,,,,,
01/06/2022,106,N/A,,,,,,,,,,
01/06/2022,109,N/A,,,,,,,,,,
01/06/2022,103,N/A,,,,,,,,,,
01/06/2022,116,N/A,,,,,,,,,,
01/06/2022,115,N/A,,,,,,,,,,
01/06/2022,120,N/A,,,,,,,,,,
01/06/2022,127,N/A,,,,,,,,,,
01/06/2022,118,N/A,,,,,,,,,,
01/06/2022,113,Scap,55,4.5,1.7,810,306,,,,,
01/06/2022,114,N/A,,,,,,,,,,
01/06/2022,119,N/A,,,,,,,,,,
01/06/2022,126,N/A,,,,,,,,,,
01/06/2022,125,N/A,,,,,,,,,,
01/06/2022,117,N/A,,,,,,,,,,
01/06/2022,128,N/A,,,,,,,,,,
01/06/2022,122,N/A,,,,,,,,,,
01/06/2022,123,N/A,,,,,,,,,,
01/06/2022,124,N/A,,,,,,,,,,
01/06/2022,121,N/A,,,,,,,,,,
01/06/2022,36,N/A,,,,,,,,,,
01/06/2022,37,N/A,,,,,,,,,,
01/06/2022,48,N/A,,,,,,,,,,
01/06/2022,33,N/A,,,,,,,,,,
01/06/2022,38,N/A,,,,,,,,,,
01/06/2022,43,N/A,,,,,,,,,,
01/06/2022,42,N/A,,,,,,,,,,
01/06/2022,46,N/A,,,,,,,,,,
01/06/2022,44,N/A,,,,,,,,,,
01/06/2022,41,N/A,,,,,,,,,,
01/06/2022,40,N/A,,,,,,,,,,
01/06/2022,35,N/A,,,,,,,,,,
01/06/2022,47,N/A,,,,,,,,,,
01/06/2022,34,N/A,,,,,,,,,,
01/06/2022,39,N/A,,,,,,,,,,
01/06/2022,45,N/A,,,,,,,,,,
18/05/2022,49,N/A,,,,,,,,,,
18/05/2022,54,N/A,,,,,,,,,,
18/05/2022,55,N/A,,,,,,,,,,
18/05/2022,58,N/A,,,,,,,,,,
18/05/2022,61,N/A,,,,,,,,,,
18/05/2022,64,N/A,,,,,,,,,,
18/05/2022,62,N/A,,,,,,,,,,
18/05/2022,52,N/A,,,,,,,,,,
18/05/2022,57,N/A,,,,,,,,,,
18/05/2022,51,N/A,,,,,,,,,,
18/05/2022,63,N/A,,,,,,,,,,
18/05/2022,60,Simo,40,7.7,6.3,1925,1575,,,,,
18/05/2022,56,N/A,,,,,,,,,,
18/05/2022,59,N/A,,,,,,,,,,
18/05/2022,53,N/A,,,,,,,,,,
18/05/2022,50,N/A,,,,,,,,,,
18/05/2022,80,N/A,,,,,,,,,,
18/05/2022,73,N/A,,,,,,,,,,
18/05/2022,76,N/A,,,,,,,,,,
18/05/2022,71,N/A,,,,,,,,,,
18/05/2022,65,N/A,,,,,,,,,,
18/05/2022,75,N/A,,,,,,,,,,
18/05/2022,69,N/A,,,,,,,,,,
18/05/2022,68,N/A,,,,,,,,,,
18/05/2022,66,N/A,,,,,,,,,,
18/05/2022,78,N/A,,,,,,,,,,
18/05/2022,67,N/A,,,,,,,,,,
18/05/2022,70,N/A,,,,,,,,,,
18/05/2022,72,N/A,,,,,,,,,,
18/05/2022,74,N/A,,,,,,,,,,
18/05/2022,79,N/A,,,,,,,,,,
18/05/2022,77,N/A,,,,,,,,,,
18/05/2022,100,N/A,,,,,,,,,,
18/05/2022,99,N/A,,,,,,,,,,
18/05/2022,112,N/A,,,,,,,,,,
18/05/2022,97,N/A,,,,,,,,,,
18/05/2022,110,N/A,,,,,,,,,,
18/05/2022,102,N/A,,,,,,,,,,
18/05/2022,98,N/A,,,,,,,,,,
18/05/2022,109,N/A,,,,,,,,,,
18/05/2022,104,N/A,,,,,,,,,,
18/05/2022,111,N/A,,,,,,,,,,
18/05/2022,107,Simo,55,5.6,2.8,1008,504,,,,,
18/05/2022,101,N/A,,,,,,,,,,
18/05/2022,106,N/A,,,,,,,,,,
18/05/2022,108,Ephippia ,55,4.2,2.7,756,486,,,,,
18/05/2022,108,Daphnia,55,4.9,3.3,882,594,,,,,
18/05/2022,108,Ephippia ,55,3.8,2.9,684,522,,,,,
18/05/2022,108,Ephippia ,55,3.5,3.1,630,558,,,,,
18/05/2022,103,N/A,,,,,,,,,,
18/05/2022,105,N/A,,,,,,,,,,
18/05/2022,9,N/A,,,,,,,,,,
18/05/2022,7,N/A,,,,,,,,,,
18/05/2022,15,N/A,,,,,,,,,,
18/05/2022,5,N/A,,,,,,,,,,
18/05/2022,1,Daphnia,40,8.3,3.6,2075,900,,,,,
18/05/2022,14,N/A,,,,,,,,,,
18/05/2022,3,N/A,,,,,,,,,,
18/05/2022,8,N/A,,,,,,,,,,
18/05/2022,2,N/A,,,,,,,,,,
18/05/2022,13,N/A,,,,,,,,,,
18/05/2022,10,N/A,,,,,,,,,,
18/05/2022,4,N/A,,,,,,,,,,
18/05/2022,6,Scap,55,4.6,2.6,828,468,,,,,
18/05/2022,12,N/A,,,,,,,,,,
18/05/2022,11,N/A,,,,,,,,,,
18/05/2022,16,Empty,,,,,,,,,,
18/05/2022,17,N/A,,,,,,,,,,
18/05/2022,18,N/A,,,,,,,,,,
18/05/2022,19,N/A,,,,,,,,,,
18/05/2022,20,N/A,,,,,,,,,,
18/05/2022,26,N/A,,,,,,,,,,
18/05/2022,25,N/A,,,,,,,,,,
18/05/2022,24,N/A,,,,,,,,,,
18/05/2022,30,N/A,,,,,,,,,,
18/05/2022,29,N/A,,,,,,,,,,
18/05/2022,28,N/A,,,,,,,,,,
18/05/2022,22,N/A,,,,,,,,,,
18/05/2022,27,N/A,,,,,,,,,,
18/05/2022,31,N/A,,,,,,,,,,
18/05/2022,32,N/A,,,,,,,,,,
18/05/2022,23,N/A,,,,,,,,,,
18/05/2022,21,N/A,,,,,,,,,,
18/05/2022,47,N/A,,,,,,,,,,
18/05/2022,37,N/A,,,,,,,,,,
18/05/2022,40,N/A,,,,,,,,,,
18/05/2022,36,N/A,,,,,,,,,,
18/05/2022,34,N/A,,,,,,,,,,
18/05/2022,46,N/A,,,,,,,,,,
18/05/2022,35,N/A,,,,,,,,,,
18/05/2022,43,N/A,,,,,,,,,,
18/05/2022,41,N/A,,,,,,,,,,
18/05/2022,44,N/A,,,,,,,,,,
18/05/2022,48,N/A,,,,,,,,,,
18/05/2022,45,N/A,,,,,,,,,,
18/05/2022,33,N/A,,,,,,,,,,
18/05/2022,39,N/A,,,,,,,,,,
18/05/2022,38,N/A,,,,,,,,,,
18/05/2022,42,N/A,,,,,,,,,,
18/05/2022,92,N/A,,,,,,,,,,
18/05/2022,84,N/A,,,,,,,,,,
18/05/2022,85,Ephippia ,55,3.2,2.1,576,378,,,,,
18/05/2022,91,N/A,,,,,,,,,,
18/05/2022,90,N/A,,,,,,,,,,
18/05/2022,86,N/A,,,,,,,,,,
18/05/2022,83,N/A,,,,,,,,,,
18/05/2022,95,N/A,,,,,,,,,,
18/05/2022,82,N/A,,,,,,,,,,
18/05/2022,94,N/A,,,,,,,,,,
18/05/2022,89,N/A,,,,,,,,,,
18/05/2022,87,N/A,,,,,,,,,,
18/05/2022,96,N/A,,,,,,,,,,
18/05/2022,81,N/A,,,,,,,,,,
18/05/2022,88,N/A,,,,,,,,,,
18/05/2022,93,Scap,55,5.1,2.9,900,522,,,,,
18/05/2022,93,Scap,55,5.9,2.6,1062,468,,,,,
18/05/2022,113,N/A,,,,,,,,,,
18/05/2022,123,N/A,,,,,,,,,,
18/05/2022,115,N/A,,,,,,,,,,
18/05/2022,127,Cyclopoid,55,6.3,1.4,1134,252,,,,,
18/05/2022,118,N/A,,,,,,,,,,
18/05/2022,114,N/A,,,,,,,,,,
18/05/2022,116,N/A,,,,,,,,,,
18/05/2022,119,N/A,,,,,,,,,,
18/05/2022,120,N/A,,,,,,,,,,
18/05/2022,128,Ephippia ,55,3.9,2.4,702,432,,,,,
18/05/2022,126,N/A,,,,,,,,,,
18/05/2022,122,N/A,,,,,,,,,,
18/05/2022,117,N/A,,,,,,,,,,
18/05/2022,121,N/A,,,,,,,,,,
18/05/2022,124,N/A,,,,,,,,,,
18/05/2022,125,Scap,55,3.1,1.3,558,234,,,,,
