"Class","Length","Width","filename","date","lens","meso","block","treatment_n","nutrients.P1","pesticides.P1","nutrients.P2","pesticides.P2","Taxa"
"daphnia_abun",1800.7712,1185.3408,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1698.8064,1152.5664,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1950.0768,1236.3232,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1400.1952,1061.5264,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2263.2544,1451.1776,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1986.4928,1422.0448,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2026.5504,1196.2656,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2306.9536,1309.1552,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2317.8784,1280.0224,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2288.7456,1280.0224,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2259.6128,1371.0624,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1214.4736,759.2736,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1327.3632,620.8928,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",904.9376,693.7248,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1666.032,1363.7792,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"scapholeberis",515.2864,333.2064,"s10_13_05_22_2x_cl_data.csv","13/05/2022","x2",10,1,14,"yes","yes","yes","no","scapholeberis"
"scapholeberis_abun",1116.1504,952.2784,"s10_13_05_22_2x_cl_data.csv","13/05/2022","x2",10,1,14,"yes","yes","yes","no","scapholeberis"
"scapholeberis_abun",460.6624,249.4496,"s10_13_05_22_2x_cl_data.csv","13/05/2022","x2",10,1,14,"yes","yes","yes","no","scapholeberis"
"nauplius",245.808,132.9184,"s100_13_05_22_x2_cl_data.csv","13/05/2022","x2",100,7,6,"no","no","no","yes","nauplius"
"nauplius",151.1264,96.5024,"s100_13_05_22_x2_cl_data.csv","13/05/2022","x2",100,7,6,"no","no","no","yes","nauplius"
"daphnia",857.5968,515.2864,"s100_13_05_22_x2_cl_data.csv","13/05/2022","x2",100,7,6,"no","no","no","yes","daphnia"
"simocephalus_abun",1123.4336,486.1536,"s101_13_05_22_x2_cl_data.csv","13/05/2022","x2",101,7,8,"no","yes","yes","no","simocephalus"
"daphnia",1014.1856,493.4368,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","daphnia"
"scapholeberis",715.5744,438.8128,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",515.2864,333.2064,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",828.464,606.3264,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",824.8224,588.1184,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",872.1632,566.2688,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",941.3536,522.5696,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",802.9728,577.1936,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",974.128,551.7024,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",821.1808,508.0032,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",832.1056,478.8704,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",624.5344,431.5296,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis",493.4368,314.9984,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis_abun",974.128,711.9328,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis_abun",1003.2608,715.5744,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis_abun",613.6096,537.136,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis_abun",846.672,595.4016,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"scapholeberis_abun",894.0128,518.928,"s102_13_05_22_x2_cl_data.csv","13/05/2022","x2",102,7,2,"no","yes","no","yes","scapholeberis"
"nauplius",151.1264,100.144,"s103_13_05_22_x2_cl_data.csv","13/05/2022","x2",103,7,10,"yes","yes","yes","yes","nauplius"
"alona_abun",384.1888,296.7904,"s105_13_05_22_x2_cl_data.csv","13/05/2022","x2",105,7,14,"yes","yes","yes","no","alona"
"nauplius",107.4272,81.936,"s106_13_05_22_x2_cl_data.csv","13/05/2022","x2",106,7,15,"yes","yes","no","yes","nauplius"
"nauplius",271.2992,202.1088,"s107_13_05_22_x2_cl_data.csv","13/05/2022","x2",107,7,16,"yes","yes","no","no","nauplius"
"daphnia",2561.8656,1232.6816,"s107_13_05_22_x2_cl_data.csv","13/05/2022","x2",107,7,16,"yes","yes","no","no","daphnia"
"scapholeberis",821.1808,442.4544,"s107_13_05_22_x2_cl_data.csv","13/05/2022","x2",107,7,16,"yes","yes","no","no","scapholeberis"
"cyclopoida",813.8976,409.68,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","cyclopoida"
"scapholeberis",613.6096,395.1136,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis",711.9328,384.1888,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis",431.5296,249.4496,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis",508.0032,311.3568,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis",719.216,413.3216,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis",708.2912,365.9808,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",660.9504,548.0608,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",828.464,351.4144,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",420.6048,267.6576,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",223.9584,162.0512,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",1021.4688,701.008,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",817.5392,569.9104,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",810.256,660.9504,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",944.9952,668.2336,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",660.9504,413.3216,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","scapholeberis"
"chydorus_abun",457.0208,318.64,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","chydorus"
"chydorus_abun",274.9408,238.5248,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","chydorus"
"ephippia",883.088,682.8,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","ephippia"
"ephippia",1054.2432,234.8832,"s108_13_05_22_x2_cl_data.csv","13/05/2022","x2",108,7,12,"no","yes","yes","yes","ephippia"
"nauplius",253.0912,183.9008,"s109_13_05_22_x2_cl_data.csv","13/05/2022","x2",109,7,11,"yes","no","yes","yes","nauplius"
"daphnia",926.7872,333.2064,"s109_13_05_22_x2_cl_data.csv","13/05/2022","x2",109,7,11,"yes","no","yes","yes","daphnia"
"nauplius",282.224,180.2592,"s11_13_05_22_2x_cl_data.csv","13/05/2022","x2",11,1,4,"no","yes","no","no","nauplius"
"cyclopoida",1564.0672,457.0208,"s11_13_05_22_2x_cl_data.csv","13/05/2022","x2",11,1,4,"no","yes","no","no","cyclopoida"
"daphnia",2030.192,1043.3184,"s11_13_05_22_2x_cl_data.csv","13/05/2022","x2",11,1,4,"no","yes","no","no","daphnia"
"simocephalus",755.632,493.4368,"s11_13_05_22_2x_cl_data.csv","13/05/2022","x2",11,1,4,"no","yes","no","no","simocephalus"
"daphnia_abun",1039.6768,802.9728,"s11_13_05_22_2x_cl_data.csv","13/05/2022","x2",11,1,4,"no","yes","no","no","daphnia"
"nauplius",172.976,121.9936,"s110_13_05_22_x2_cl_data.csv","13/05/2022","x2",110,7,7,"no","no","yes","no","nauplius"
"nauplius",140.2016,121.9936,"s110_13_05_22_x2_cl_data.csv","13/05/2022","x2",110,7,7,"no","no","yes","no","nauplius"
"keratella_quadrata_abun",103.7856,34.5952,"s110_13_05_22_x2_cl_data.csv","13/05/2022","x2",110,7,7,"no","no","yes","no","keratella_quadrata"
"keratella_quadrata_abun",256.7328,52.8032,"s110_13_05_22_x2_cl_data.csv","13/05/2022","x2",110,7,7,"no","no","yes","no","keratella_quadrata"
"nauplius",143.8432,107.4272,"s111_13_05_22_x2_cl_data.csv","13/05/2022","x2",111,7,3,"yes","no","yes","no","nauplius"
"nauplius",143.8432,100.144,"s111_13_05_22_x2_cl_data.csv","13/05/2022","x2",111,7,3,"yes","no","yes","no","nauplius"
"nauplius",267.6576,187.5424,"s111_13_05_22_x2_cl_data.csv","13/05/2022","x2",111,7,3,"yes","no","yes","no","nauplius"
"scapholeberis",558.9856,333.2064,"s111_13_05_22_x2_cl_data.csv","13/05/2022","x2",111,7,3,"yes","no","yes","no","scapholeberis"
"nauplius_abun",868.5216,296.7904,"s111_13_05_22_x2_cl_data.csv","13/05/2022","x2",111,7,3,"yes","no","yes","no","nauplius"
"cyclopoida",2525.4496,846.672,"s112_13_05_22_x2_cl_data.csv","13/05/2022","x2",112,7,13,"no","no","yes","yes","cyclopoida"
"scapholeberis",591.76,264.016,"s112_13_05_22_x2_cl_data.csv","13/05/2022","x2",112,7,13,"no","no","yes","yes","scapholeberis"
"simocephalus_abun",664.592,446.096,"s112_13_05_22_x2_cl_data.csv","13/05/2022","x2",112,7,13,"no","no","yes","yes","simocephalus"
"scapholeberis_abun",1010.544,788.4064,"s112_13_05_22_x2_cl_data.csv","13/05/2022","x2",112,7,13,"no","no","yes","yes","scapholeberis"
"nauplius_abun",169.3344,125.6352,"s113_13_05_22_x2_cl_data.csv","13/05/2022","x2",113,8,13,"no","no","yes","yes","nauplius"
"alona_abun",642.7424,256.7328,"s113_13_05_22_x2_cl_data.csv","13/05/2022","x2",113,8,13,"no","no","yes","yes","alona"
"daphnia",2150.3648,1221.7568,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","daphnia"
"daphnia",1432.9696,690.0832,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","daphnia"
"scapholeberis",1006.9024,609.968,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",708.2912,336.848,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",770.1984,438.8128,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",1138,730.1408,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",631.8176,358.6976,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",824.8224,493.4368,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",478.8704,325.9232,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis",482.512,278.5824,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"scapholeberis_abun",1014.1856,737.424,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","scapholeberis"
"daphnia_abun",1447.536,748.3488,"s115_13_05_22_x2_cl_data.csv","13/05/2022","x2",115,8,5,"yes","no","no","no","daphnia"
"nauplius_abun",274.9408,169.3344,"s116_13_05_22_x2_cl_data.csv","13/05/2022","x2",116,8,16,"yes","yes","no","no","nauplius"
"nauplius",147.4848,111.0688,"s117_13_05_22_x2_cl_data.csv","13/05/2022","x2",117,8,15,"yes","yes","no","yes","nauplius"
"simocephalus",897.6544,650.0256,"s118_13_05_22_x2_cl_data.csv","13/05/2022","x2",118,8,6,"no","no","no","yes","simocephalus"
"scapholeberis",930.4288,566.2688,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",591.76,333.2064,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",497.0784,282.224,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",817.5392,566.2688,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",369.6224,260.3744,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",759.2736,314.9984,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",883.088,555.344,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis",529.8528,285.8656,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"nauplius_abun",304.0736,132.9184,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","nauplius"
"nauplius_abun",300.432,143.8432,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","nauplius"
"nauplius_abun",242.1664,132.9184,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","nauplius"
"nauplius_abun",387.8304,234.8832,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","nauplius"
"nauplius_abun",223.9584,183.9008,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","nauplius"
"nauplius_abun",1116.1504,169.3344,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","nauplius"
"scapholeberis_abun",722.8576,500.72,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis_abun",1174.416,617.2512,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis_abun",544.4192,369.6224,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis_abun",839.3888,482.512,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"scapholeberis_abun",4633.936,2590.9984,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","scapholeberis"
"pleuroxus",722.8576,427.888,"s119_13_05_22_x2_cl_data.csv","13/05/2022","x2",119,8,3,"yes","no","yes","no","pleuroxus"
"simocephalus",1538.576,1065.168,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","simocephalus"
"simocephalus",1760.7136,1163.4912,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","simocephalus"
"simocephalus",741.0656,522.5696,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","simocephalus"
"simocephalus",2077.5328,1123.4336,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","simocephalus"
"simocephalus",908.5792,602.6848,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","simocephalus"
"daphnia_abun",591.76,453.3792,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","daphnia"
"alona_abun",427.888,293.1488,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","alona"
"simocephalus_abun",2692.9632,1760.7136,"s12_13_05_22_2x_cl_data.csv","13/05/2022","x2",12,1,2,"no","yes","no","yes","simocephalus"
"scapholeberis",912.2208,620.8928,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis",449.7376,238.5248,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis",941.3536,704.6496,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis",904.9376,573.552,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis",482.512,293.1488,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"simocephalus",686.4416,515.2864,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","simocephalus"
"scapholeberis_abun",442.4544,271.2992,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",748.3488,511.6448,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",679.1584,606.3264,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",966.8448,806.6144,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",489.7952,329.5648,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",708.2912,508.0032,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",475.2288,322.2816,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",715.5744,438.8128,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis_abun",526.2112,311.3568,"s120_13_05_22_x2_cl_data.csv","13/05/2022","x2",120,8,4,"no","yes","no","no","scapholeberis"
"scapholeberis",449.7376,285.8656,"s121_13_05_22_x2_cl_data.csv","13/05/2022","x2",121,8,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis",894.0128,511.6448,"s121_13_05_22_x2_cl_data.csv","13/05/2022","x2",121,8,12,"no","yes","yes","yes","scapholeberis"
"scapholeberis_abun",602.6848,314.9984,"s121_13_05_22_x2_cl_data.csv","13/05/2022","x2",121,8,12,"no","yes","yes","yes","scapholeberis"
"alona_abun",274.9408,191.184,"s121_13_05_22_x2_cl_data.csv","13/05/2022","x2",121,8,12,"no","yes","yes","yes","alona"
"alona_abun",493.4368,369.6224,"s121_13_05_22_x2_cl_data.csv","13/05/2022","x2",121,8,12,"no","yes","yes","yes","alona"
"nauplius",169.3344,118.352,"s122_13_05_22_x2_cl_data.csv","13/05/2022","x2",122,8,11,"yes","no","yes","yes","nauplius"
"calanoida",864.88,391.472,"s122_13_05_22_x2_cl_data.csv","13/05/2022","x2",122,8,11,"yes","no","yes","yes","calanoida"
"nauplius",245.808,194.8256,"s123_13_05_22_x2_cl_data.csv","13/05/2022","x2",123,8,1,"no","no","no","no","nauplius"
"ostracoda",395.1136,300.432,"s123_13_05_22_x2_cl_data.csv","13/05/2022","x2",123,8,1,"no","no","no","no","ostracoda"
"nauplius_abun",701.008,198.4672,"s123_13_05_22_x2_cl_data.csv","13/05/2022","x2",123,8,1,"no","no","no","no","nauplius"
"nauplius_abun",249.4496,162.0512,"s123_13_05_22_x2_cl_data.csv","13/05/2022","x2",123,8,1,"no","no","no","no","nauplius"
"scapholeberis_abun",540.7776,304.0736,"s123_13_05_22_x2_cl_data.csv","13/05/2022","x2",123,8,1,"no","no","no","no","scapholeberis"
"scapholeberis",420.6048,329.5648,"s124_13_05_22_x2_cl_data.csv","13/05/2022","x2",124,8,9,"yes","no","no","yes","scapholeberis"
"scapholeberis",497.0784,318.64,"s124_13_05_22_x2_cl_data.csv","13/05/2022","x2",124,8,9,"yes","no","no","yes","scapholeberis"
"scapholeberis",540.7776,296.7904,"s124_13_05_22_x2_cl_data.csv","13/05/2022","x2",124,8,9,"yes","no","no","yes","scapholeberis"
"scapholeberis",748.3488,395.1136,"s124_13_05_22_x2_cl_data.csv","13/05/2022","x2",124,8,9,"yes","no","no","yes","scapholeberis"
"scapholeberis",391.472,253.0912,"s124_13_05_22_x2_cl_data.csv","13/05/2022","x2",124,8,9,"yes","no","no","yes","scapholeberis"
"scapholeberis",438.8128,344.1312,"s124_13_05_22_x2_cl_data.csv","13/05/2022","x2",124,8,9,"yes","no","no","yes","scapholeberis"
